"","ï..Sno","Date","Time","State","ConfirmedIndianNational","ConfirmedForeignNational","Cured","Deaths","Confirmed"
"226",1142,2020-04-20,"5:00 PM","Madhya Pradesh","-","-",127,74,1485
"227",1143,2020-04-20,"5:00 PM","Maharashtra","-","-",507,223,4203
"228",1148,2020-04-20,"5:00 PM","Odisha","-","-",24,1,68
"229",1157,2020-04-20,"5:00 PM","West Bengal","-","-",66,12,339
"230",1164,2020-04-21,"5:00 PM","Chhattisgarh","-","-",25,0,36
"231",1167,2020-04-21,"5:00 PM","Gujarat","-","-",131,77,2066
"232",1171,2020-04-21,"5:00 PM","Jharkhand","-","-",0,2,46
"233",1175,2020-04-21,"5:00 PM","Madhya Pradesh","-","-",127,76,1540
"234",1176,2020-04-21,"5:00 PM","Maharashtra","-","-",572,232,4669
"235",1181,2020-04-21,"5:00 PM","Odisha","-","-",24,1,74
"236",1190,2020-04-21,"5:00 PM","West Bengal","-","-",73,12,392
"237",1197,2020-04-22,"5:00 PM","Chhattisgarh","-","-",26,0,36
"238",1200,2020-04-22,"5:00 PM","Gujarat","-","-",144,95,2272
"239",1204,2020-04-22,"5:00 PM","Jharkhand","-","-",0,3,45
"240",1208,2020-04-22,"5:00 PM","Madhya Pradesh","-","-",148,80,1592
"241",1209,2020-04-22,"5:00 PM","Maharashtra","-","-",722,251,5221
"242",1213,2020-04-22,"5:00 PM","Odisha","-","-",30,1,82
"243",1222,2020-04-22,"5:00 PM","West Bengal","-","-",73,15,423
"244",1229,2020-04-23,"5:00 PM","Chhattisgarh","-","-",28,0,36
"245",1232,2020-04-23,"5:00 PM","Gujarat","-","-",179,103,2407
"246",1236,2020-04-23,"5:00 PM","Jharkhand","-","-",8,3,49
"247",1240,2020-04-23,"5:00 PM","Madhya Pradesh","-","-",148,81,1695
"248",1241,2020-04-23,"5:00 PM","Maharashtra","-","-",789,269,5652
"249",1245,2020-04-23,"5:00 PM","Odisha","-","-",32,1,83
"250",1254,2020-04-23,"5:00 PM","West Bengal","-","-",79,15,456
"251",1261,2020-04-24,"5:00 PM","Chhattisgarh","-","-",28,0,36
"252",1264,2020-04-24,"5:00 PM","Gujarat","-","-",258,112,2624
"253",1268,2020-04-24,"5:00 PM","Jharkhand","-","-",8,3,55
"254",1272,2020-04-24,"5:00 PM","Madhya Pradesh","-","-",203,83,1852
"255",1273,2020-04-24,"5:00 PM","Maharashtra","-","-",840,283,6430
